"","species","Mean","SD","q.025","q.05","q.25","q.75","q.95","q.975","calibration","SP"
"40","Cymatogaster aggregata",0.100146768919705,0.000134021281456039,0.0998633456681715,0.0999323596693101,0.100081533519058,0.100214751367798,0.100341395297123,0.100412562117964,"COM5","Cymatogaster aggregata"
"41","Hexagrammos",0.0997387076788429,0.000120937238539456,0.0994902814214966,0.0995538503442528,0.0996765040289401,0.0998034410309386,0.0999255267054227,0.0999799487942431,"COM5","Hexagrammos"
"42","Leptocottus armatus",0.0997186521756961,0.000135856967896891,0.0994377648974329,0.0995055364587498,0.0996525058872787,0.0997875578686329,0.099918834339912,0.0999750921539241,"COM5","Leptocottus armatus"
"43","Lumpenus sagitta",0.0997338269931715,0.000169169835197565,0.099393476815356,0.0994780276288809,0.0996473355368078,0.09981564930061,0.100001420987135,0.100079322651734,"COM5","Lumpenus sagitta"
"44","Oncorhynchus kisutch",0.100571913752382,0.000186483877147158,0.100186828272156,0.100278671570101,0.100486813076677,0.100668488334753,0.100829876040071,0.100903434668657,"COM5","Oncorhynchus kisutch"
"45","Ophiodon elongatus",0.100415966218076,0.000418458387351883,0.0996386725303731,0.0999014734335028,0.100285982757317,0.100527201658761,0.10097276702848,0.101287251541636,"COM5","Ophiodon elongatus"
"46","Pleuronectidae 1",0.100872334171223,0.000489403763859835,0.0999743254159463,0.100269131701364,0.100715711358233,0.101001851029455,0.101499726103195,0.10180992993657,"COM5","Pleuronectidae 1"
"47","Sebastes 1",0.0997481712753473,0.000370650715985041,0.0990191777759173,0.0993255263157673,0.0996538062611827,0.0998461883810462,0.100220428958432,0.100468568148885,"COM5","Sebastes 1"
"48","Sebastes 2",0.0997182977194211,9.05451118623819e-05,0.0995340313854007,0.0995823323694222,0.0996739667248081,0.0997650739521855,0.0998509489401673,0.0999007807764073,"COM5","Sebastes 2"
"49","Cymatogaster aggregata",0.123935381961026,0.000457117929219593,0.122974275298183,0.123295130992516,0.12378640874283,0.12410308521737,0.124548552091317,0.124814781379484,"COM6","Cymatogaster aggregata"
"50","Hexagrammos",0.124707099143175,0.000453097079308888,0.123999384555262,0.124218768515767,0.124566012143791,0.1248358002695,0.12518768428775,0.125397771342275,"COM6","Hexagrammos"
"51","Lepidopsetta",0.125564294957023,0.000285174429316785,0.125009262396562,0.125132963852812,0.1254103049554,0.125707482569374,0.126024333569958,0.126167630843836,"COM6","Lepidopsetta"
"52","Leptocottus armatus",0.124588392634639,0.000222926517198508,0.124122920841783,0.124240795230866,0.124475904304585,0.124700973716602,0.124948953846927,0.12506123497079,"COM6","Leptocottus armatus"
"53","Lumpenus sagitta",0.124702489541949,0.000639568309494552,0.123362900108782,0.123832778579574,0.124520377474408,0.124938717997478,0.12550294722969,0.125808501536113,"COM6","Lumpenus sagitta"
"54","Pholis laeta",0.125303194121681,0.000668229482414262,0.123980102537024,0.12439347324646,0.125087501849202,0.125555026100312,0.126199722835045,0.126524164053283,"COM6","Pholis laeta"
"55","Pleuronectidae 1",0.126192995301446,0.00036176091038722,0.125469809553237,0.125637962879061,0.126001931810403,0.126385158799698,0.126760948431043,0.126955512847833,"COM6","Pleuronectidae 1"
